Date,Player_Name,Target,Line,Odds_Over,Odds_Under,Pred_Mean,Pick,Pick_EV,Pick_Odds,FairOdds_Over,FairOdds_Under
2025-12-29,Jamal Murray,REB+AST,11.5,1.96,1.78,18.5,OVER,0.156,1.96,2.1,1.91
2025-12-29,Norman Powell,REB+AST,6.5,2.02,1.74,-8.7,UNDER,0.26,1.74,2.16,1.86
2025-12-29,Ja'Kobe Walter,PTS,5.5,1.88,1.88,-46.9,UNDER,0.629,1.88,2.0,2.0
2025-12-29,Ochai Agbaji,PTS,6.5,1.82,1.93,-59.0,UNDER,0.812,1.93,1.94,2.06
2025-12-29,Anthony Black,PTS,18.5,1.83,1.91,26.4,SKIP,0.0,0.0,1.96,2.04
2025-12-29,Sandro Mamukelashvili,PTS,12.5,1.98,1.77,-36.7,UNDER,0.508,1.77,2.12,1.89
2025-12-29,Brandon Ingram,PTS,24.5,1.96,1.78,73.6,OVER,0.51,1.96,2.1,1.91
2025-12-29,Tyus Jones,PTS,4.5,1.72,2.04,-53.8,UNDER,0.831,2.04,1.84,2.19
2025-12-29,Desmond Bane,PTS,21.5,1.88,1.88,49.0,OVER,0.258,1.88,2.0,2.0
2025-12-29,Immanuel Quickley,PTS,16.5,1.98,1.77,31.6,OVER,0.185,1.98,2.12,1.89
2025-12-29,Scottie Barnes,PTS,18.5,1.94,1.8,42.5,OVER,0.275,1.94,2.08,1.93
2025-12-29,Paolo Banchero,PTS,22.5,1.83,1.91,54.0,OVER,0.271,1.83,1.96,2.04
2025-12-29,Jamal Shead,PTS,5.5,1.76,2.0,-43.9,UNDER,0.707,2.0,1.88,2.14
2025-12-29,Tristan da Silva,PTS,8.5,1.77,1.98,-14.6,UNDER,0.327,1.98,1.89,2.12
2025-12-29,Desmond Bane,AST,4.5,2.02,1.74,9.9,OVER,0.229,2.02,2.16,1.86
2025-12-29,Scottie Barnes,AST,4.5,1.66,2.16,16.5,OVER,0.185,1.66,1.77,2.3
2025-12-29,Jamal Shead,AST,4.5,1.88,1.88,17.0,OVER,0.316,1.88,2.0,2.0
2025-12-29,Tyus Jones,AST,3.5,1.72,2.04,3.9,SKIP,0.0,0.0,1.84,2.19
